Координаты: (229.5, 14.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (8.5, 15.0); Яркость: 508; Размер: 2; Тип: планета
Координаты: (263.0, 9.0); Яркость: 922; Размер: 4; Тип: планета
Координаты: (257.5, 9.0); Яркость: 1410; Размер: 6; Тип: планета
Координаты: (251.0, 8.5); Яркость: 508; Размер: 2; Тип: планета
Координаты: (245.5, 9.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (240.0, 9.0); Яркость: 1010; Размер: 4; Тип: планета
Координаты: (233.5, 9.0); Яркость: 1325; Размер: 6; Тип: планета
Координаты: (229.5, 8.5); Яркость: 759; Размер: 3; Тип: планета
Координаты: (222.5, 9.0); Яркость: 2318; Размер: 10; Тип: планета
Координаты: (217.0, 8.5); Яркость: 459; Размер: 2; Тип: планета
Координаты: (25.0, 9.0); Яркость: 952; Размер: 4; Тип: планета
Координаты: (14.0, 9.0); Яркость: 1001; Размер: 4; Тип: планета
Координаты: (8.0, 9.0); Яркость: 956; Размер: 4; Тип: планета
Координаты: (135.5, 66.0); Яркость: 6068385; Размер: 35772; Тип: звезда
Координаты: (194.5, 135.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (211.5, 131.5); Яркость: 765; Размер: 3; Тип: планета
Координаты: (201.0, 131.5); Яркость: 2387; Размер: 10; Тип: планета
Координаты: (206.5, 129.5); Яркость: 1979; Размер: 9; Тип: планета
Координаты: (201.0, 125.0); Яркость: 998; Размер: 4; Тип: планета
Координаты: (210.5, 125.0); Яркость: 2514; Размер: 12; Тип: планета
Координаты: (205.0, 109.0); Яркость: 1725; Размер: 8; Тип: планета
Координаты: (216.0, 107.5); Яркость: 478; Размер: 2; Тип: планета
Координаты: (260.5, 101.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (229.5, 102.0); Яркость: 1391; Размер: 6; Тип: планета
Координаты: (223.5, 102.0); Яркость: 1331; Размер: 6; Тип: планета
Координаты: (218.0, 102.0); Яркость: 961; Размер: 4; Тип: планета
Координаты: (213.5, 102.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (189.5, 102.0); Яркость: 1390; Размер: 6; Тип: планета
Координаты: (183.5, 101.5); Яркость: 1891; Размер: 9; Тип: планета
Координаты: (262.5, 97.5); Яркость: 218; Размер: 1; Тип: планета
Координаты: (214.5, 96.5); Яркость: 765; Размер: 3; Тип: планета
Координаты: (205.0, 96.0); Яркость: 2765; Размер: 12; Тип: планета
Координаты: (12.0, 77.0); Яркость: 19305; Размер: 96; Тип: звезда
